"","x"
"644","JosephÂ Echevarria"
"645","Joseph Jimenez"
"646","Joseph Magnacca"
"647","Joseph Nacchio"
"648","Joseph Tsai"
"649","Josh Hix"
"650","Josh Reich"
"651","Josh Schwartz"
"652","Josh Tetrick"
"653","Joshua Brown"
"654","Juergen Fitschen"
"655","Julian Clarke"
"656","Julian Geiger"
"657","Julie McKinley"
"658","Juniper Networks"
"659","Justin Knight"
"660","Justin Smith"
"661","Kapur"
"662","Kara Swisher"
"663","Karen Barr"
"664","Kasper Rorsted"
"665","Katherine Lintz"
"666","Kathy Bloomgarden"
"667","Kathy Savitt"
"668","Kaz Hirai"
"669","Kazuhiro Tsuga"
"670","Kazuo Hirai"
"671","Keith Mc"
"672","Keith McCullough"
"673","Keith McMullin"
"674","Ken Cowley"
"675","Ken Griffin"
"676","Ken Lewis"
"677","Ken Lin"
"678","Ken Moelis"
"679","Ken Powell"
"680","Kenneth Lewis"
"681","Kent"
"682","Kerry Trainor"
"683","Kevin Counihan"
"684","Kevin Monday"
"685","Kevin Plank"
"686","Kevin Reddy"
"687","Kevin Ryan"
"688","Kevin Scott"
"689","Kevin Systrom"
"690","Kevin Turner"
"691","Khalil Sediq"
"692","Kibsgaard"
"693","Kip Tindell"
"694","Kirk  Sorensen"
"695","Klaus Kleinfeld"
"696","Kohlberg Kravis"
"697","Kosta Kartsotis"
"698","Kozlowski"
"699","Kramer"
"700","Kris Henriksen"
"701","Kyle Bass"
"702","Kyle Vucko"
"703","Kyung"
"704","Lance Roberts"
"705","Lanham Napier"
"706","Lanhan Napier"
"707","Larry Downing"
"708","Larry Ellison"
"709","Larry Ellisona"
"710","Larry Ellisons"
"711","Larry Fink"
"712","Larry Page"
"713","Larry Robbins"
"714","Laura Lang"
"715","Lauren"
"716","Laurence Fink"
"717","Laurent Potdevin"
"718","Lawler"
"719","Lee Munson"
"720","Legere"
"721","Legg Mason"
"722","Lei Jun"
"723","Leo Apotheker"
"724","Leo Apothekers"
"725","Les Moonves"
"726","Lesar"
"727","Lew Frankfort"
"728","Lewis Frankfort"
"729","Lex Fenwick"
"730","Limin Li"
"731","Lisa Su"
"732","Liveris"
"733","Liz Ann Sonders"
"734","Lloyd  Blankfein"
"735","Lloyd Blankfein"
"736","Lloyd Blankfeina"
"737","Lloyd Blankfeins"
"738","Lord"
"739","Lorenzo Grabau"
"740","Louis D'Ambrosio"
"741","Lourenco Goncalves"
"742","Lowell Mc"
"743","Lowell McAdam"
"744","Lucas Duplan"
"745","Luke Kanies"
"746","Lyndon Rive"
"747","Macaulay"
"748","Macys Inc"
"749","Managing Partner"
"750","Mara"
"751","Marc  Benioff"
"752","Marc Beer"
"753","Marc Benioff"
"754","Marc Benioffs"
"755","Marc Caira"
"756","Marcelo Claure"
"757","Marco Dunand"
"758","Marco Patuano"
"759","Marcus Lemonis"
"760","Maria das Gracas"
"761","Marianne Lake"
"762","Mario Anzuoni"
"763","Mario Draghi"
"764","Mario Longhi"
"765","Marisa Mayer"
"766","Marissa Mayer"
"767","Marissa Mayera"
"768","Marissa Mayeris"
"769","Marissa Mayers"
"770","Marissa Mayersa"
"771","Mark Benioff"
"772","Mark Carney"
"773","Mark Cohen"
"774","Mark Fields"
"775","Mark Frissora"
"776","Mark Giannantonio"
"777","Mark Hurd"
"778","Mark Hurds"
"779","Mark Karpel"
"780","Mark Karpele"
"781","Mark Karpeles"
"782","Mark Mobius"
"783","Mark Papa"
"784","Mark Spitznagel"
"785","Mark Thompson"
"786","Mark Trefgarne"
"787","Mark Vorsatz"
"788","Mark Zuckerberg"
"789","Marlon Luis"
"790","Martin Blessing"
"791","Martin Craighead"
"792","Martine Rothblatt"
"793","Mary Barra"
"794","Mary Barras"
"795","Mary Callahan Erdoes"
"796","Mary Callan"
"797","Mary Erdoes"
"798","Mary T. Barra"
"799","Masayoshi Son"
"800","Matt Kibbe"
"801","Matt Maloney"
"802","Matt Rose"
"803","Matt Shay"
"804","Matt Shaya"
"805","Matthew Prince"
"806","Mattrick"
"807","Maurice Greenberg"
"808","Maurice Hank"
"809","Maurice Levy"
"810","Maurice Taylor"
"811","Maxime Picat"
"812","Mayer"
"813","McGee"
"814","McGregor"
"815","McNabb"
"816","McNerney"
"817","Meg Whiteman"
"818","Meg Whitman"
"819","Meg Whitmans"
"820","Meredith Whitney"
"821","Merlo"
"822","Meyer"
"823","Miachael Jeffries"
"824","Michael Bloomberg"
"825","Michael Boardman"
"826","Michael Brown"
"827","Michael Carrazza"
"828","Michael Corbat"
"829","Michael Dell"
"830","MIchael Dell"
"831","Michael Dells"
"832","Michael Dieckmann"
"833","Michael Duke"
"834","Michael Eisner"
"835","Michael Fries"
"836","Michael Heyward"
"837","Michael Jefferies"
"838","Michael Jeffries"
"839","Michael Johnson"
"840","Michael Johnsona"
"841","Michael Kowalski"
"842","Michael Lynch"
"843","Michael Marcovici"
"844","Michael O'Leary"
"845","Michael Pearson"
"846","Michael S. Dell"
"847","Michael Smith"
